Area,Activity,value
Akaa,Total,16387.0
Akaa,Labour force,7747.0
Akaa,Employed,6917.0
Akaa,Unemployed,830.0
Akaa,Persons outside the labour force,8640.0
Akaa,0-14 years old,2460.0
Akaa,"Students, pupils",1119.0
Akaa,"Conscripts, persons in non-military service",29.0
Akaa,Pensioners,4558.0
Akaa,Other persons outside the labour force,474.0
Alajärvi,Total,9078.0
Alajärvi,Labour force,3604.0
Alajärvi,Employed,3320.0
Alajärvi,Unemployed,284.0
Alajärvi,Persons outside the labour force,5474.0
Alajärvi,0-14 years old,1435.0
Alajärvi,"Students, pupils",650.0
Alajärvi,"Conscripts, persons in non-military service",15.0
Alajärvi,Pensioners,3116.0
Alajärvi,Other persons outside the labour force,258.0
Alavieska,Total,2410.0
Alavieska,Labour force,1038.0
Alavieska,Employed,942.0
Alavieska,Unemployed,96.0
Alavieska,Persons outside the labour force,1372.0
Alavieska,0-14 years old,443.0
Alavieska,"Students, pupils",173.0
Alavieska,"Conscripts, persons in non-military service",2.0
Alavieska,Pensioners,704.0
Alavieska,Other persons outside the labour force,50.0
Alavus,Total,10780.0
Alavus,Labour force,4462.0
Alavus,Employed,3927.0
Alavus,Unemployed,535.0
Alavus,Persons outside the labour force,6318.0
Alavus,0-14 years old,1668.0
Alavus,"Students, pupils",668.0
Alavus,"Conscripts, persons in non-military service",15.0
Alavus,Pensioners,3675.0
Alavus,Other persons outside the labour force,292.0
Asikkala,Total,7889.0
Asikkala,Labour force,3158.0
Asikkala,Employed,2785.0
Asikkala,Unemployed,373.0
Asikkala,Persons outside the labour force,4731.0
Asikkala,0-14 years old,964.0
Asikkala,"Students, pupils",503.0
Asikkala,"Conscripts, persons in non-military service",20.0
Asikkala,Pensioners,3000.0
Asikkala,Other persons outside the labour force,244.0
Askola,Total,4651.0
Askola,Labour force,2344.0
Askola,Employed,2167.0
Askola,Unemployed,177.0
Askola,Persons outside the labour force,2307.0
Askola,0-14 years old,768.0
Askola,"Students, pupils",277.0
Askola,"Conscripts, persons in non-military service",7.0
Askola,Pensioners,1156.0
Askola,Other persons outside the labour force,99.0
Aura,Total,3966.0
Aura,Labour force,1948.0
Aura,Employed,1806.0
Aura,Unemployed,142.0
Aura,Persons outside the labour force,2018.0
Aura,0-14 years old,713.0
Aura,"Students, pupils",232.0
Aura,"Conscripts, persons in non-military service",7.0
Aura,Pensioners,1000.0
Aura,Other persons outside the labour force,66.0
Brändö,Total,430.0
Brändö,Labour force,216.0
Brändö,Employed,211.0
Brändö,Unemployed,5.0
Brändö,Persons outside the labour force,214.0
Brändö,0-14 years old,35.0
