Area,Age,value
Akaa,Total,16429.0
Akaa,0,146.0
Akaa,1,134.0
Akaa,2,124.0
Akaa,3,123.0
Akaa,4,162.0
Akaa,5,131.0
Akaa,6,151.0
Akaa,7,122.0
Akaa,8,152.0
Akaa,9,159.0
Akaa,10,173.0
Akaa,11,186.0
Akaa,12,214.0
Akaa,13,223.0
Akaa,14,217.0
Akaa,15,226.0
Akaa,16,208.0
Akaa,17,210.0
Akaa,18,219.0
Akaa,19,187.0
Akaa,20,130.0
Akaa,21,121.0
Akaa,22,96.0
Akaa,23,115.0
Akaa,24,113.0
Akaa,25,111.0
Akaa,26,115.0
Akaa,27,123.0
Akaa,28,122.0
Akaa,29,132.0
Akaa,30,137.0
Akaa,31,183.0
Akaa,32,171.0
Akaa,33,178.0
Akaa,34,186.0
Akaa,35,200.0
Akaa,36,174.0
Akaa,37,203.0
Akaa,38,199.0
Akaa,39,237.0
Akaa,40,193.0
Akaa,41,203.0
Akaa,42,230.0
Akaa,43,231.0
Akaa,44,231.0
Akaa,45,252.0
Akaa,46,223.0
Akaa,47,245.0
Akaa,48,239.0
Akaa,49,251.0
Akaa,50,231.0
Akaa,51,243.0
Akaa,52,190.0
Akaa,53,204.0
Akaa,54,192.0
Akaa,55,229.0
Akaa,56,232.0
Akaa,57,256.0
Akaa,58,231.0
Akaa,59,226.0
Akaa,60,222.0
Akaa,61,236.0
Akaa,62,211.0
Akaa,63,214.0
Akaa,64,210.0
Akaa,65,205.0
Akaa,66,211.0
Akaa,67,200.0
Akaa,68,216.0
Akaa,69,243.0
Akaa,70,228.0
Akaa,71,218.0
Akaa,72,206.0
Akaa,73,225.0
Akaa,74,230.0
Akaa,75,208.0
Akaa,76,224.0
Akaa,77,247.0
Akaa,78,190.0
Akaa,79,155.0
Akaa,80,160.0
Akaa,81,117.0
Akaa,82,105.0
Akaa,83,95.0
Akaa,84,103.0
Akaa,85,65.0
Akaa,86,78.0
Akaa,87,60.0
Akaa,88,59.0
Akaa,89,51.0
Akaa,90,48.0
Akaa,91,33.0
Akaa,92,32.0
Akaa,93,23.0
Akaa,94,14.0
Akaa,95,18.0
Akaa,96,7.0
Akaa,97,2.0
Akaa,98,7.0
Akaa,99,3.0
Akaa,100 -,5.0
Alajärvi,Total,8982.0
Alajärvi,0,56.0
Alajärvi,1,67.0
Alajärvi,2,70.0
Alajärvi,3,72.0
