Area,Education,value
Akaa,Total,13927.0
Akaa,3-8 A post-comprehensive level qualification,10241.0
Akaa,3 Upper secondary education,6214.0
Akaa,4 Post-secondary non-tertiary education,223.0
Akaa,5 Short-cycle tertiary education,1171.0
Akaa,6 Bachelor's or equivalent level,1449.0
Akaa,7 Master's or equivalent level,1099.0
Akaa,8 Doctoral or equivalent level,85.0
Akaa,9 Basic education,3686.0
Alajärvi,Total,7643.0
Alajärvi,3-8 A post-comprehensive level qualification,5326.0
Alajärvi,3 Upper secondary education,3408.0
Alajärvi,4 Post-secondary non-tertiary education,126.0
Alajärvi,5 Short-cycle tertiary education,751.0
Alajärvi,6 Bachelor's or equivalent level,640.0
Alajärvi,7 Master's or equivalent level,386.0
Alajärvi,8 Doctoral or equivalent level,15.0
Alajärvi,9 Basic education,2317.0
Alavieska,Total,1967.0
Alavieska,3-8 A post-comprehensive level qualification,1411.0
Alavieska,3 Upper secondary education,1015.0
Alavieska,4 Post-secondary non-tertiary education,22.0
Alavieska,5 Short-cycle tertiary education,133.0
Alavieska,6 Bachelor's or equivalent level,170.0
Alavieska,7 Master's or equivalent level,71.0
Alavieska,8 Doctoral or equivalent level,0.0
Alavieska,9 Basic education,556.0
Alavus,Total,9112.0
Alavus,3-8 A post-comprehensive level qualification,6399.0
Alavus,3 Upper secondary education,4386.0
Alavus,4 Post-secondary non-tertiary education,106.0
Alavus,5 Short-cycle tertiary education,763.0
Alavus,6 Bachelor's or equivalent level,756.0
Alavus,7 Master's or equivalent level,374.0
Alavus,8 Doctoral or equivalent level,14.0
Alavus,9 Basic education,2713.0
Asikkala,Total,6925.0
Asikkala,3-8 A post-comprehensive level qualification,4985.0
Asikkala,3 Upper secondary education,2935.0
Asikkala,4 Post-secondary non-tertiary education,98.0
Asikkala,5 Short-cycle tertiary education,715.0
Asikkala,6 Bachelor's or equivalent level,726.0
Asikkala,7 Master's or equivalent level,479.0
Asikkala,8 Doctoral or equivalent level,32.0
Asikkala,9 Basic education,1940.0
Askola,Total,3883.0
Askola,3-8 A post-comprehensive level qualification,2825.0
Askola,3 Upper secondary education,1826.0
Askola,4 Post-secondary non-tertiary education,77.0
Askola,5 Short-cycle tertiary education,313.0
Askola,6 Bachelor's or equivalent level,374.0
Askola,7 Master's or equivalent level,221.0
Askola,8 Doctoral or equivalent level,14.0
Askola,9 Basic education,1058.0
Aura,Total,3253.0
Aura,3-8 A post-comprehensive level qualification,2406.0
Aura,3 Upper secondary education,1511.0
Aura,4 Post-secondary non-tertiary education,69.0
Aura,5 Short-cycle tertiary education,251.0
Aura,6 Bachelor's or equivalent level,362.0
Aura,7 Master's or equivalent level,195.0
Aura,8 Doctoral or equivalent level,18.0
Aura,9 Basic education,847.0
Brändö,Total,395.0
Brändö,3-8 A post-comprehensive level qualification,276.0
Brändö,3 Upper secondary education,141.0
Brändö,4 Post-secondary non-tertiary education,0.0
Brändö,5 Short-cycle tertiary education,37.0
