Area,Sex,value
Akaa,Males,8256.0
Akaa,Females,8173.0
Alajärvi,Males,4516.0
Alajärvi,Females,4466.0
Alavieska,Males,1260.0
Alavieska,Females,1124.0
Alavus,Males,5452.0
Alavus,Females,5182.0
Asikkala,Males,3894.0
Asikkala,Females,3947.0
Askola,Males,2374.0
Askola,Females,2303.0
Aura,Males,1929.0
Aura,Females,2008.0
Brändö,Males,240.0
Brändö,Females,190.0
Eckerö,Males,482.0
Eckerö,Females,479.0
Enonkoski,Males,652.0
Enonkoski,Females,621.0
Enontekiö,Males,954.0
Enontekiö,Females,815.0
Espoo,Males,162179.0
Espoo,Females,163537.0
Eura,Males,5550.0
Eura,Females,5455.0
Eurajoki,Males,4526.0
Eurajoki,Females,4394.0
Evijärvi,Males,1176.0
Evijärvi,Females,1091.0
Finström,Males,1325.0
Finström,Females,1300.0
Forssa,Males,7910.0
Forssa,Females,8397.0
Föglö,Males,259.0
Föglö,Females,253.0
Geta,Males,264.0
Geta,Females,248.0
Haapajärvi,Males,3262.0
Haapajärvi,Females,3179.0
Haapavesi,Males,3223.0
Haapavesi,Females,3075.0
Hailuoto,Males,452.0
Hailuoto,Females,460.0
Halsua,Males,512.0
Halsua,Females,463.0
Hamina,Males,9499.0
Hamina,Females,9614.0
Hammarland,Males,837.0
Hammarland,Females,807.0
Hankasalmi,Males,2272.0
Hankasalmi,Females,2164.0
Hanko,Males,3807.0
Hanko,Females,3813.0
Harjavalta,Males,3270.0
Harjavalta,Females,3295.0
Hartola,Males,1208.0
Hartola,Females,1193.0
Hattula,Males,4696.0
Hattula,Females,4650.0
Hausjärvi,Males,4030.0
Hausjärvi,Females,3832.0
Heinola,Males,8662.0
Heinola,Females,9032.0
Heinävesi,Males,1483.0
Heinävesi,Females,1405.0
Helsinki,Males,331843.0
Helsinki,Females,362549.0
Hirvensalmi,Males,1037.0
Hirvensalmi,Females,986.0
Hollola,Males,11216.0
Hollola,Females,11559.0
Huittinen,Males,4687.0
Huittinen,Females,4859.0
Humppila,Males,1075.0
Humppila,Females,999.0
Hyrynsalmi,Males,1056.0
Hyrynsalmi,Females,928.0
Hyvinkää,Males,23003.0
Hyvinkää,Females,24012.0
Hämeenkyrö,Males,5115.0
Hämeenkyrö,Females,5134.0
Hämeenlinna,Males,33241.0
Hämeenlinna,Females,35373.0
Ii,Males,5043.0
Ii,Females,4712.0
Iisalmi,Males,10087.0
Iisalmi,Females,10118.0
Iitti,Males,3159.0
Iitti,Females,3170.0
Ikaalinen,Males,3402.0
Ikaalinen,Females,3302.0
Ilmajoki,Males,6308.0
Ilmajoki,Females,6097.0
Ilomantsi,Males,2167.0
Ilomantsi,Females,2126.0
Imatra,Males,12045.0
Imatra,Females,12300.0
Inari,Males,3725.0
Inari,Females,3519.0
Ingå,Males,2685.0
Ingå,Females,2706.0
Isojoki,Males,928.0
Isojoki,Females,843.0
Isokyrö,Males,2175.0
Isokyrö,Females,2086.0
Janakkala,Males,8030.0
Janakkala,Females,7837.0
Joensuu,Males,38568.0
Joensuu,Females,40561.0
Jokioinen,Males,2364.0
Jokioinen,Females,2431.0
Jomala,Males,2936.0
Jomala,Females,2881.0
Joroinen,Males,2307.0
Joroinen,Females,2187.0
Joutsa,Males,2104.0
Joutsa,Females,1975.0
Juuka,Males,2093.0
Juuka,Females,1966.0
Juupajoki,Males,871.0
Juupajoki,Females,792.0
Juva,Males,2803.0
Juva,Females,2766.0
Jyväskylä,Males,73654.0
Jyväskylä,Females,76241.0
Jämijärvi,Males,847.0
Jämijärvi,Females,816.0
Jämsä,Males,9575.0
