Area,Income decile,value
Akaa,Total,16074.0
Alajärvi,Total,8813.0
Alavieska,Total,2354.0
Alavus,Total,10578.0
Asikkala,Total,7717.0
Askola,Total,4573.0
Aura,Total,3909.0
Brändö,Total,420.0
Eckerö,Total,928.0
Enonkoski,Total,1248.0
Enontekiö,Total,1665.0
Espoo,Total,313562.0
Eura,Total,10840.0
Eurajoki,Total,8775.0
Evijärvi,Total,2232.0
Finström,Total,2575.0
Forssa,Total,16069.0
Föglö,Total,482.0
Geta,Total,504.0
Haapajärvi,Total,6360.0
Haapavesi,Total,6219.0
Hailuoto,Total,912.0
Halsua,Total,960.0
Hamina,Total,18858.0
Hammarland,Total,1602.0
Hankasalmi,Total,4407.0
Hanko,Total,7521.0
Harjavalta,Total,6512.0
Hartola,Total,2390.0
Hattula,Total,9216.0
Hausjärvi,Total,7760.0
Heinola,Total,17431.0
Heinävesi,Total,2832.0
Helsinki,Total,663626.0
Hirvensalmi,Total,1973.0
Hollola,Total,22440.0
Huittinen,Total,9352.0
Humppila,Total,2050.0
Hyrynsalmi,Total,1935.0
Hyvinkää,Total,46006.0
Hämeenkyrö,Total,10168.0
Hämeenlinna,Total,66913.0
Ii,Total,9654.0
Iisalmi,Total,20032.0
Iitti,Total,6259.0
Ikaalinen,Total,6604.0
Ilmajoki,Total,12248.0
Ilomantsi,Total,4217.0
Imatra,Total,24205.0
Inari,Total,6695.0
Ingå,Total,5281.0
Isojoki,Total,1739.0
Isokyrö,Total,4262.0
Janakkala,Total,15764.0
Joensuu,Total,77070.0
Jokioinen,Total,4762.0
Jomala,Total,5728.0
Joroinen,Total,4462.0
Joutsa,Total,3928.0
Juuka,Total,4052.0
Juupajoki,Total,1626.0
Juva,Total,5565.0
Jyväskylä,Total,146141.0
Jämijärvi,Total,1631.0
Jämsä,Total,18654.0
Järvenpää,Total,45918.0
Kaarina,Total,35948.0
Kaavi,Total,2519.0
Kajaani,Total,35474.0
Kalajoki,Total,11893.0
Kangasala,Total,33464.0
Kangasniemi,Total,4916.0
Kankaanpää,Total,12179.0
Kannonkoski,Total,1156.0
Kannus,Total,5179.0
Karijoki,Total,1138.0
Karkkila,Total,8263.0
Karstula,Total,3491.0
Karvia,Total,2121.0
Kaskinen,Total,1220.0
Kauhajoki,Total,12287.0
Kauhava,Total,14760.0
Kauniainen,Total,10050.0
Kaustinen,Total,4071.0
Keitele,Total,1935.0
Kemi,Total,18980.0
Kemijärvi,Total,6702.0
Keminmaa,Total,7493.0
Kimitoön,Total,6203.0
Kempele,Total,19360.0
Kerava,Total,37507.0
Keuruu,Total,8883.0
Kihniö,Total,1648.0
Kinnula,Total,1459.0
Kirkkonummi,Total,40818.0
Kitee,Total,9232.0
Kittilä,Total,5904.0
Kiuruvesi,Total,7177.0
Kivijärvi,Total,971.0
Kokemäki,Total,6509.0
Kokkola,Total,47373.0
Kolari,Total,3578.0
Konnevesi,Total,2390.0
Kontiolahti,Total,14884.0
Korsnäs,Total,1939.0
Koski Tl,Total,2143.0
Kotka,Total,48777.0
Kouvola,Total,76560.0
Kristinestad,Total,5964.0
Kronoby,Total,6241.0
Kuhmo,Total,7315.0
Kuhmoinen,Total,1984.0
Kumlinge,Total,270.0
Kuopio,Total,122818.0
Kuortane,Total,3270.0
Kurikka,Total,19235.0
Kustavi,Total,938.0
Kuusamo,Total,14394.0
Kyyjärvi,Total,1109.0
Kärkölä,Total,4029.0
Kärsämäki,Total,2312.0
Kökar,Total,223.0
Lahti,Total,118858.0
Laihia,Total,7547.0
Laitila,Total,8259.0
Lapinjärvi,Total,2382.0
Lapinlahti,Total,8646.0
Lappajärvi,Total,2696.0
Lappeenranta,Total,71974.0
Lapua,Total,13750.0
Laukaa,Total,18581.0
Lemi,Total,2804.0
Lemland,Total,2088.0
Lempäälä,Total,24536.0
Leppävirta,Total,8724.0
Lestijärvi,Total,649.0
Lieksa,Total,9660.0
Lieto,Total,20417.0
Liminka,Total,10107.0
Liperi,Total,11565.0
Lohja,Total,44587.0
Loimaa,Total,14881.0
Loppi,Total,7505.0
Loviisa,Total,14026.0
Luhanka,Total,692.0
Lumijoki,Total,1985.0
Lumparland,Total,357.0
Larsmo,Total,5797.0
Luumäki,Total,4270.0
Malax,Total,5324.0
Mariehamn,Total,11641.0
Marttila,Total,1881.0
Masku,Total,9462.0
Merijärvi,Total,1049.0
Merikarvia,Total,2820.0
Miehikkälä,Total,1645.0
Mikkeli,Total,50790.0
Muhos,Total,8600.0
Multia,Total,1341.0
Muonio,Total,2158.0
Korsholm,Total,19503.0
Muurame,Total,10459.0
Mynämäki,Total,7352.0
Myrskylä,Total,1616.0
Mäntsälä,Total,20575.0
Mänttä-Vilppula,Total,9018.0
Mäntyharju,Total,6849.0
Naantali,Total,19787.0
Nakkila,Total,4881.0
Nivala,Total,10224.0
Nokia,Total,35523.0
Nousiainen,Total,4535.0
Nurmes,Total,8729.0
Nurmijärvi,Total,44279.0
Närpes,Total,9351.0
Orimattila,Total,15366.0
Oripää,Total,1261.0
Orivesi,Total,8661.0
Oulainen,Total,6781.0
Oulu,Total,212409.0
Outokumpu,Total,6259.0
Padasjoki,Total,2598.0
Paimio,Total,11043.0
Paltamo,Total,2919.0
Pargas,Total,14598.0
Parikkala,Total,4210.0
Parkano,Total,5923.0
Pedersöre,Total,11128.0
Pelkosenniemi,Total,835.0
Pello,Total,3074.0
Perho,Total,2559.0
Petäjävesi,Total,3483.0
Pieksämäki,Total,16689.0
Pielavesi,Total,3856.0
Jakobstad,Total,19108.0
Pihtipudas,Total,3618.0
Pirkkala,Total,20796.0
Polvijärvi,Total,3881.0
Pomarkku,Total,1889.0
Pori,Total,81413.0
Pornainen,Total,4871.0
Porvoo,Total,50684.0
Posio,Total,2704.0
Pudasjärvi,Total,7115.0
Pukkila,Total,1698.0
Punkalaidun,Total,2546.0
Puolanka,Total,2263.0
Puumala,Total,2009.0
Pyhtää,Total,4879.0
Pyhäjoki,Total,2905.0
Pyhäjärvi,Total,4592.0
Pyhäntä,Total,1610.0
Pyhäranta,Total,1895.0
Pälkäne,Total,6065.0
Pöytyä,Total,7843.0
Raahe,Total,23140.0
Raseborg,Total,26422.0
Raisio,Total,25231.0
Rantasalmi,Total,3143.0
Ranua,Total,3467.0
Rauma,Total,38218.0
Rautalampi,Total,2855.0
Rautavaara,Total,1381.0
Rautjärvi,Total,2957.0
Reisjärvi,Total,2500.0
Riihimäki,Total,28028.0
Ristijärvi,Total,1125.0
Rovaniemi,Total,64352.0
Ruokolahti,Total,4621.0
Ruovesi,Total,3910.0
Rusko,Total,6334.0
Rääkkylä,Total,1828.0
Saarijärvi,Total,8614.0
Salla,Total,3106.0
Salo,Total,49672.0
Saltvik,Total,1739.0
Sastamala,Total,22949.0
Sauvo,Total,2888.0
Savitaipale,Total,3102.0
Savonlinna,Total,30620.0
Savukoski,Total,940.0
Seinäjoki,Total,65582.0
Sievi,Total,4526.0
Siikainen,Total,1230.0
Siikajoki,Total,4729.0
Siikalatva,Total,4845.0
Siilinjärvi,Total,20888.0
Simo,Total,2721.0
Sipoo,Total,22370.0
Siuntio,Total,6058.0
Sodankylä,Total,7846.0
Soini,Total,1771.0
Somero,Total,8200.0
Sonkajärvi,Total,3495.0
Sotkamo,Total,9863.0
Sottunga,Total,101.0
Sulkava,Total,2296.0
Sund,Total,973.0
Suomussalmi,Total,6876.0
Suonenjoki,Total,6467.0
Sysmä,Total,3350.0
Säkylä,Total,6127.0
Taipalsaari,Total,4482.0
Taivalkoski,Total,3569.0
Taivassalo,Total,1630.0
Tammela,Total,5665.0
Tampere,Total,253871.0
Tervo,Total,1334.0
Tervola,Total,2759.0
Teuva,Total,4551.0
Tohmajärvi,Total,3870.0
Toholampi,Total,2752.0
Toivakka,Total,2287.0
Tornio,Total,20468.0
Turku,Total,199791.0
Tuusniemi,Total,2237.0
Tuusula,Total,41496.0
Tyrnävä,Total,6429.0
Ulvila,Total,12184.0
Urjala,Total,4380.0
Utajärvi,Total,2417.0
Utsjoki,Total,1073.0
Uurainen,Total,3602.0
Nykarleby,Total,7318.0
Uusikaupunki,Total,14530.0
Vaala,Total,2508.0
Vaasa,Total,69133.0
Valkeakoski,Total,20427.0
Vantaa,Total,244354.0
Varkaus,Total,19230.0
Vehmaa,Total,2195.0
Vesanto,Total,1793.0
Vesilahti,Total,4423.0
Veteli,Total,2869.0
Vieremä,Total,3292.0
Vihti,Total,28172.0
Viitasaari,Total,5640.0
Vimpeli,Total,2542.0
Virolahti,Total,2760.0
Virrat,Total,6041.0
Vårdö,Total,450.0
Vörå,Total,6136.0
Ylitornio,Total,3610.0
Ylivieska,Total,15196.0
Ylöjärvi,Total,33176.0
Ypäjä,Total,2157.0
Ähtäri,Total,5065.0
Äänekoski,Total,17441.0
MK01 Uusimaa,Total,1736715.0
MK02 Southwest Finland,Total,482826.0
MK04 Satakunta,Total,206681.0
MK05 Kanta-Häme,Total,165889.0
MK06 Pirkanmaa,Total,533813.0
MK07 Päijät-Häme,Total,200438.0
MK08 Kymenlaakso,Total,153479.0
MK09 South Karelia,Total,122625.0
MK10 South Savo,Total,126098.0
MK11 North Savo,Total,243141.0
MK12 North Karelia,Total,158079.0
MK13 Central Finland,Total,268347.0
MK14 South Ostrobothnia,Total,186519.0
MK15 Ostrobothnia,Total,175709.0
MK16 Central Ostrobothnia,Total,66412.0
MK17 North Ostrobothnia,Total,410694.0
MK18 Kainuu,Total,67770.0
MK19 Lapland,Total,170130.0
MK21 Åland,Total,30081.0
HVA01 East Uusimaa wellbeing services county,Total,97349.0
HVA02 Central Uusimaa wellbeing services county,Total,203145.0
HVA03 West Uusimaa wellbeing services county,Total,490734.0
HVA04 Vantaa and Kerava wellbeing services county,Total,281861.0
HVA05 Southwest Finland wellbeing services county,Total,482826.0
HVA06 Satakunta wellbeing services county,Total,206681.0
HVA07 Kanta-Häme wellbeing services county,Total,165889.0
HVA08 Pirkanmaa wellbeing services county,Total,533813.0
HVA09 Päijät-Häme wellbeing services county,Total,200438.0
HVA10 Kymenlaakso wellbeing services county,Total,153479.0
HVA11 South Karelia wellbeing services county,Total,122625.0
HVA12 South Savo wellbeing services county,Total,126098.0
HVA13 North Savo wellbeing services county,Total,243141.0
HVA14 North Karelia wellbeing services county,Total,158079.0
HVA15 Central Finland wellbeing services county,Total,268347.0
HVA16 South Ostrobothnia wellbeing services county,Total,186519.0
HVA17 Ostrobothnia wellbeing services county,Total,175709.0
HVA18 Central Ostrobothnia wellbeing services county,Total,66412.0
HVA19 North Ostrobothnia wellbeing services county,Total,410694.0
HVA20 Kainuu wellbeing services county,Total,67770.0
HVA21 Lapland wellbeing services county,Total,170130.0
HVA90 City of Helsinki,Total,663626.0
HVA91 Åland,Total,30081.0
SK011 Helsinki,Total,1622512.0
SK014 Raasepori,Total,39224.0
SK015 Porvoo,Total,58571.0
SK016 Loviisa,Total,16408.0
SK021 Åboland-Turunmaa,Total,20801.0
SK022 Salo,Total,57872.0
SK023 Turku,Total,342788.0
SK024 Vakka-Suomi,Total,29447.0
SK025 Loimaa,Total,31918.0
SK041 Rauma,Total,63960.0
SK043 Pori,Total,125560.0
SK044 Pohjois-Satakunta,Total,17161.0
SK051 Hämeenlinna,Total,91893.0
SK052 Riihimäki,Total,43293.0
SK053 Forssa,Total,30703.0
SK061 Luoteis-Pirkanmaa,Total,14175.0
SK063 Etelä-Pirkanmaa,Total,40881.0
SK064 Tampere,Total,432667.0
SK068 Lounais-Pirkanmaa,Total,25495.0
SK069 Ylä-Pirkanmaa,Total,20595.0
SK071 Lahti,Total,200438.0
SK081 Kouvola,Total,76560.0
SK082 Kotka-Hamina,Total,76919.0
SK091 Lappeenranta,Total,86632.0
SK093 Imatra,Total,35993.0
SK101 Mikkeli,Total,66537.0
SK103 Savonlinna,Total,37307.0
SK105 Pieksämäki,Total,22254.0
SK111 Ylä-Savo,Total,48433.0
SK112 Kuopio,Total,143706.0
SK113 Koillis-Savo,Total,6137.0
SK114 Varkaus,Total,32416.0
SK115 Sisä-Savo,Total,12449.0
SK122 Joensuu,Total,124760.0
SK124 Keski-Karjala,Total,14930.0
SK125 Pielisen Karjala,Total,18389.0
SK131 Jyväskylä,Total,188960.0
SK132 Joutsa,Total,4620.0
SK133 Keuruu,Total,10224.0
SK134 Jämsä,Total,18654.0
SK135 Äänekoski,Total,19831.0
SK138 Saarijärvi-Viitasaari,Total,26058.0
SK141 Suupohja,Total,19715.0
SK142 Seinäjoki,Total,129837.0
SK144 Kuusiokunnat,Total,18913.0
SK146 Järviseutu,Total,18054.0
SK152 Vaasa,Total,109582.0
