Area,Industry,value
MK01 Uusimaa,Industries total,829992.0
MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03) (Level 1)",3949.0
MK01 Uusimaa,B Mining and quarrying (05-09) (Level 1),339.0
MK01 Uusimaa,C Manufacturing (10-33) (Level 1),67403.0
MK01 Uusimaa,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",4947.0
MK01 Uusimaa,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",3038.0
MK01 Uusimaa,F Construction (41-43) (Level 1),53945.0
MK01 Uusimaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),95218.0
MK01 Uusimaa,H Transportation and storage (49-53) (Level 1),44983.0
MK01 Uusimaa,I Accommodation and food service activities (55-56) (Level 1),32398.0
MK01 Uusimaa,J Information and communication (58-63) (Level 1),63890.0
MK01 Uusimaa,K Financial and insurance activities (64-66) (Level 1),27215.0
MK01 Uusimaa,L Real estate activities (68) (Level 1),10655.0
MK01 Uusimaa,"M Professional, scientific and technical activities (69-75) (Level 1)",72083.0
MK01 Uusimaa,N Administrative and support service activities (77-82) (Level 1),70364.0
MK01 Uusimaa,O Public administration and defence; compulsory social security (84) (Level 1),43445.0
MK01 Uusimaa,P Education (85) (Level 1),57908.0
MK01 Uusimaa,Q Human health and social work activities (86-88) (Level 1),120365.0
MK01 Uusimaa,"R Arts, entertainment and recreation (90-93) (Level 1)",20181.0
MK01 Uusimaa,S Other service activities (94-96) (Level 1),23978.0
MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),1477.0
MK01 Uusimaa,U Activities of extraterritorial organisations and bodies (99) (Level 1),428.0
MK01 Uusimaa,X Unknown (Level 1),11783.0
MK02 Southwest Finland,Industries total,214560.0
MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03) (Level 1)",5179.0
MK02 Southwest Finland,B Mining and quarrying (05-09) (Level 1),352.0
MK02 Southwest Finland,C Manufacturing (10-33) (Level 1),31321.0
MK02 Southwest Finland,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",612.0
MK02 Southwest Finland,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",1010.0
MK02 Southwest Finland,F Construction (41-43) (Level 1),14621.0
MK02 Southwest Finland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),22748.0
MK02 Southwest Finland,H Transportation and storage (49-53) (Level 1),11031.0
MK02 Southwest Finland,I Accommodation and food service activities (55-56) (Level 1),7651.0
MK02 Southwest Finland,J Information and communication (58-63) (Level 1),7356.0
MK02 Southwest Finland,K Financial and insurance activities (64-66) (Level 1),3998.0
MK02 Southwest Finland,L Real estate activities (68) (Level 1),2119.0
MK02 Southwest Finland,"M Professional, scientific and technical activities (69-75) (Level 1)",12486.0
MK02 Southwest Finland,N Administrative and support service activities (77-82) (Level 1),16143.0
MK02 Southwest Finland,O Public administration and defence; compulsory social security (84) (Level 1),9319.0
MK02 Southwest Finland,P Education (85) (Level 1),15757.0
MK02 Southwest Finland,Q Human health and social work activities (86-88) (Level 1),40559.0
MK02 Southwest Finland,"R Arts, entertainment and recreation (90-93) (Level 1)",3507.0
MK02 Southwest Finland,S Other service activities (94-96) (Level 1),5385.0
MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),655.0
MK02 Southwest Finland,U Activities of extraterritorial organisations and bodies (99) (Level 1),12.0
MK02 Southwest Finland,X Unknown (Level 1),2739.0
MK05 Kanta-Häme,Industries total,70456.0
MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03) (Level 1)",1967.0
MK05 Kanta-Häme,B Mining and quarrying (05-09) (Level 1),75.0
MK05 Kanta-Häme,C Manufacturing (10-33) (Level 1),10769.0
MK05 Kanta-Häme,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",223.0
MK05 Kanta-Häme,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",782.0
MK05 Kanta-Häme,F Construction (41-43) (Level 1),5046.0
MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),8471.0
MK05 Kanta-Häme,H Transportation and storage (49-53) (Level 1),3212.0
MK05 Kanta-Häme,I Accommodation and food service activities (55-56) (Level 1),2375.0
MK05 Kanta-Häme,J Information and communication (58-63) (Level 1),2040.0
MK05 Kanta-Häme,K Financial and insurance activities (64-66) (Level 1),917.0
MK05 Kanta-Häme,L Real estate activities (68) (Level 1),725.0
MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75) (Level 1)",3270.0
MK05 Kanta-Häme,N Administrative and support service activities (77-82) (Level 1),4964.0
MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84) (Level 1),4267.0
MK05 Kanta-Häme,P Education (85) (Level 1),4790.0
MK05 Kanta-Häme,Q Human health and social work activities (86-88) (Level 1),12690.0
MK05 Kanta-Häme,"R Arts, entertainment and recreation (90-93) (Level 1)",1071.0
MK05 Kanta-Häme,S Other service activities (94-96) (Level 1),1942.0
MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),156.0
MK05 Kanta-Häme,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK05 Kanta-Häme,X Unknown (Level 1),704.0
MK07 Päijät-Häme,Industries total,80272.0
MK07 Päijät-Häme,"A Agriculture, forestry and fishing (01-03) (Level 1)",2056.0
MK07 Päijät-Häme,B Mining and quarrying (05-09) (Level 1),67.0
MK07 Päijät-Häme,C Manufacturing (10-33) (Level 1),12646.0
MK07 Päijät-Häme,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",338.0
MK07 Päijät-Häme,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",633.0
MK07 Päijät-Häme,F Construction (41-43) (Level 1),6084.0
MK07 Päijät-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),9201.0
MK07 Päijät-Häme,H Transportation and storage (49-53) (Level 1),4096.0
MK07 Päijät-Häme,I Accommodation and food service activities (55-56) (Level 1),2965.0
