Area,Language group,value
Akaa,Finnish-speaking population,15874.0
Akaa,Swedish-speaking population,25.0
Alajärvi,Finnish-speaking population,8504.0
Alajärvi,Swedish-speaking population,12.0
Alavieska,Finnish-speaking population,2331.0
Alavieska,Swedish-speaking population,4.0
Alavus,Finnish-speaking population,10351.0
Alavus,Swedish-speaking population,6.0
Asikkala,Finnish-speaking population,7530.0
Asikkala,Swedish-speaking population,11.0
Askola,Finnish-speaking population,4317.0
Askola,Swedish-speaking population,182.0
Aura,Finnish-speaking population,3795.0
Aura,Swedish-speaking population,16.0
Brändö,Finnish-speaking population,83.0
Brändö,Swedish-speaking population,312.0
Eckerö,Finnish-speaking population,43.0
Eckerö,Swedish-speaking population,824.0
Enonkoski,Finnish-speaking population,1224.0
Enonkoski,Swedish-speaking population,2.0
Enontekiö,Finnish-speaking population,1504.0
Enontekiö,Swedish-speaking population,14.0
Espoo,Finnish-speaking population,221335.0
Espoo,Swedish-speaking population,20146.0
Eura,Finnish-speaking population,10433.0
Eura,Swedish-speaking population,18.0
Eurajoki,Finnish-speaking population,8579.0
Eurajoki,Swedish-speaking population,33.0
Evijärvi,Finnish-speaking population,2101.0
Evijärvi,Swedish-speaking population,47.0
Finström,Finnish-speaking population,66.0
Finström,Swedish-speaking population,2329.0
Forssa,Finnish-speaking population,14595.0
Forssa,Swedish-speaking population,44.0
Föglö,Finnish-speaking population,19.0
Föglö,Swedish-speaking population,408.0
Geta,Finnish-speaking population,19.0
Geta,Swedish-speaking population,418.0
Haapajärvi,Finnish-speaking population,6301.0
Haapajärvi,Swedish-speaking population,2.0
Haapavesi,Finnish-speaking population,6056.0
Haapavesi,Swedish-speaking population,1.0
Hailuoto,Finnish-speaking population,896.0
Hailuoto,Swedish-speaking population,1.0
Halsua,Finnish-speaking population,927.0
Halsua,Swedish-speaking population,4.0
Hamina,Finnish-speaking population,17343.0
Hamina,Swedish-speaking population,55.0
Hammarland,Finnish-speaking population,48.0
Hammarland,Swedish-speaking population,1474.0
Hankasalmi,Finnish-speaking population,4308.0
Hankasalmi,Swedish-speaking population,11.0
Hanko,Finnish-speaking population,3960.0
Hanko,Swedish-speaking population,3141.0
Harjavalta,Finnish-speaking population,6193.0
Harjavalta,Swedish-speaking population,13.0
Hartola,Finnish-speaking population,2304.0
Hartola,Swedish-speaking population,2.0
Hattula,Finnish-speaking population,9066.0
Hattula,Swedish-speaking population,37.0
Hausjärvi,Finnish-speaking population,7541.0
Hausjärvi,Swedish-speaking population,31.0
Heinola,Finnish-speaking population,16619.0
Heinola,Swedish-speaking population,42.0
Heinävesi,Finnish-speaking population,2727.0
Heinävesi,Swedish-speaking population,9.0
Helsinki,Finnish-speaking population,509486.0
Helsinki,Swedish-speaking population,37349.0
Hirvensalmi,Finnish-speaking population,1948.0
Hirvensalmi,Swedish-speaking population,8.0
Hollola,Finnish-speaking population,21854.0
Hollola,Swedish-speaking population,80.0
Huittinen,Finnish-speaking population,8942.0
Huittinen,Swedish-speaking population,19.0
Humppila,Finnish-speaking population,2010.0
Humppila,Swedish-speaking population,5.0
Hyrynsalmi,Finnish-speaking population,1936.0
Hyrynsalmi,Swedish-speaking population,3.0
Hyvinkää,Finnish-speaking population,42342.0
Hyvinkää,Swedish-speaking population,426.0
Hämeenkyrö,Finnish-speaking population,10006.0
Hämeenkyrö,Swedish-speaking population,16.0
Hämeenlinna,Finnish-speaking population,62663.0
Hämeenlinna,Swedish-speaking population,270.0
Ii,Finnish-speaking population,9631.0
Ii,Swedish-speaking population,15.0
Iisalmi,Finnish-speaking population,19195.0
Iisalmi,Swedish-speaking population,7.0
Iitti,Finnish-speaking population,6149.0
Iitti,Swedish-speaking population,12.0
Ikaalinen,Finnish-speaking population,6368.0
Ikaalinen,Swedish-speaking population,9.0
Ilmajoki,Finnish-speaking population,12133.0
Ilmajoki,Swedish-speaking population,27.0
Ilomantsi,Finnish-speaking population,4054.0
Ilomantsi,Swedish-speaking population,10.0
Imatra,Finnish-speaking population,21875.0
Imatra,Swedish-speaking population,31.0
Inari,Finnish-speaking population,6258.0
Inari,Swedish-speaking population,31.0
Ingå,Finnish-speaking population,2368.0
Ingå,Swedish-speaking population,2737.0
Isojoki,Finnish-speaking population,1665.0
Isojoki,Swedish-speaking population,16.0
Isokyrö,Finnish-speaking population,4133.0
Isokyrö,Swedish-speaking population,34.0
Janakkala,Finnish-speaking population,15138.0
Janakkala,Swedish-speaking population,61.0
Joensuu,Finnish-speaking population,71628.0
Joensuu,Swedish-speaking population,82.0
Jokioinen,Finnish-speaking population,4606.0
Jokioinen,Swedish-speaking population,18.0
Jomala,Finnish-speaking population,270.0
Jomala,Swedish-speaking population,5070.0
Joroinen,Finnish-speaking population,4130.0
Joroinen,Swedish-speaking population,16.0
Joutsa,Finnish-speaking population,3804.0
Joutsa,Swedish-speaking population,10.0
Juuka,Finnish-speaking population,3908.0
Juuka,Swedish-speaking population,2.0
Juupajoki,Finnish-speaking population,1621.0
Juupajoki,Swedish-speaking population,7.0
Juva,Finnish-speaking population,5298.0
Juva,Swedish-speaking population,16.0
Jyväskylä,Finnish-speaking population,137582.0
Jyväskylä,Swedish-speaking population,280.0
Jämijärvi,Finnish-speaking population,1606.0
Jämijärvi,Swedish-speaking population,2.0
Jämsä,Finnish-speaking population,18058.0
Jämsä,Swedish-speaking population,23.0
Järvenpää,Finnish-speaking population,41793.0
Järvenpää,Swedish-speaking population,486.0
Kaarina,Finnish-speaking population,32265.0
Kaarina,Swedish-speaking population,1877.0
Kaavi,Finnish-speaking population,2483.0
Kaavi,Swedish-speaking population,3.0
Kajaani,Finnish-speaking population,33122.0
Kajaani,Swedish-speaking population,33.0
Kalajoki,Finnish-speaking population,11651.0
Kalajoki,Swedish-speaking population,48.0
Kangasala,Finnish-speaking population,32947.0
Kangasala,Swedish-speaking population,95.0
Kangasniemi,Finnish-speaking population,4749.0
Kangasniemi,Swedish-speaking population,12.0
Kankaanpää,Finnish-speaking population,11463.0
Kankaanpää,Swedish-speaking population,13.0
Kannonkoski,Finnish-speaking population,1117.0
Kannonkoski,Swedish-speaking population,1.0
Kannus,Finnish-speaking population,5073.0
Kannus,Swedish-speaking population,21.0
Karijoki,Finnish-speaking population,1079.0
Karijoki,Swedish-speaking population,24.0
Karkkila,Finnish-speaking population,7505.0
Karkkila,Swedish-speaking population,57.0
Karstula,Finnish-speaking population,3413.0
Karstula,Swedish-speaking population,2.0
Karvia,Finnish-speaking population,2011.0
Karvia,Swedish-speaking population,1.0
Kaskinen,Finnish-speaking population,670.0
Kaskinen,Swedish-speaking population,337.0
Kauhajoki,Finnish-speaking population,11840.0
Kauhajoki,Swedish-speaking population,47.0
Kauhava,Finnish-speaking population,13815.0
Kauhava,Swedish-speaking population,102.0
Kauniainen,Finnish-speaking population,6053.0
Kauniainen,Swedish-speaking population,3120.0
Kaustinen,Finnish-speaking population,3868.0
Kaustinen,Swedish-speaking population,79.0
Keitele,Finnish-speaking population,1852.0
Keitele,Swedish-speaking population,3.0
Kemi,Finnish-speaking population,17858.0
Kemi,Swedish-speaking population,31.0
Kemijärvi,Finnish-speaking population,6514.0
Kemijärvi,Swedish-speaking population,8.0
Keminmaa,Finnish-speaking population,7448.0
Keminmaa,Swedish-speaking population,13.0
Kimitoön,Finnish-speaking population,1903.0
Kimitoön,Swedish-speaking population,4137.0
Kempele,Finnish-speaking population,19357.0
Kempele,Swedish-speaking population,27.0
Kerava,Finnish-speaking population,31291.0
Kerava,Swedish-speaking population,447.0
Keuruu,Finnish-speaking population,8582.0
Keuruu,Swedish-speaking population,13.0
