age,gender,municipality,education_level,main_activity,income_decile,income_bracket,language_group
21,Males,Seinäjoki,3-8 A post-comprehensive level qualification,Persons outside the labour force,II,Low,Finnish-speaking population
0,Males,Kuopio,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
0,Males,Turku,3 Upper secondary education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Females,Pyhäjärvi,6 Bachelor's or equivalent level,Labour force,III,Low,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Pensioners,V,Medium,Finnish-speaking population
0,Males,Vesilahti,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
0,Females,Savonlinna,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Sipoo,3-8 A post-comprehensive level qualification,Employed,X,High,Swedish-speaking population
0,Males,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
0,Males,Kuopio,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
28,Males,Kempele,9 Basic education,0-14 years old,III,Low,Finnish-speaking population
0,Females,Vantaa,5 Short-cycle tertiary education,Labour force,VIII,High,Finnish-speaking population
20,Females,Oulu,7 Master's or equivalent level,Labour force,V,Medium,Finnish-speaking population
62,Males,Tampere,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Females,Kuopio,5 Short-cycle tertiary education,Labour force,VII,Medium,Finnish-speaking population
47,Females,Hyvinkää,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
0,Males,Mikkeli,9 Basic education,Persons outside the labour force,IV,Medium,Finnish-speaking population
53,Females,Espoo,6 Bachelor's or equivalent level,Persons outside the labour force,X,High,Finnish-speaking population
21,Females,Tampere,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
44,Males,Oulu,3-8 A post-comprehensive level qualification,0-14 years old,VII,Medium,Finnish-speaking population
0,Females,Sastamala,3 Upper secondary education,Employed,I,Low,Finnish-speaking population
0,Males,Karstula,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Vantaa,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Turku,3-8 A post-comprehensive level qualification,"Students, pupils",VII,Medium,Finnish-speaking population
57,Females,Sievi,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
31,Females,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,IV,Medium,Finnish-speaking population
0,Males,Kuusamo,9 Basic education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Espoo,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
36,Males,Porvoo,8 Doctoral or equivalent level,Employed,II,Low,Finnish-speaking population
31,Males,Saarijärvi,6 Bachelor's or equivalent level,Labour force,VIII,High,Finnish-speaking population
37,Males,Vantaa,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Järvenpää,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
38,Females,Kempele,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
43,Males,Lahti,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
47,Males,Helsinki,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
68,Females,Helsinki,3-8 A post-comprehensive level qualification,0-14 years old,I,Low,Finnish-speaking population
8,Males,Lahti,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Hyvinkää,3 Upper secondary education,Pensioners,III,Low,Finnish-speaking population
38,Females,Pori,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Females,Kuhmo,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
77,Females,Tampere,7 Master's or equivalent level,Persons outside the labour force,I,Low,Finnish-speaking population
65,Females,Pöytyä,3-8 A post-comprehensive level qualification,0-14 years old,II,Low,Finnish-speaking population
0,Males,Jyväskylä,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
30,Females,Tampere,7 Master's or equivalent level,Employed,VII,Medium,Finnish-speaking population
76,Females,Tampere,3 Upper secondary education,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Males,Kirkkonummi,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
19,Females,Jyväskylä,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Males,Pornainen,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
34,Males,Helsinki,3 Upper secondary education,Labour force,V,Medium,Finnish-speaking population
20,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,X,High,Finnish-speaking population
54,Females,Asikkala,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Sipoo,3-8 A post-comprehensive level qualification,Employed,V,Medium,Swedish-speaking population
0,Females,Pirkkala,3 Upper secondary education,Labour force,V,Medium,Finnish-speaking population
44,Females,Raisio,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
44,Males,Siilinjärvi,3-8 A post-comprehensive level qualification,Persons outside the labour force,I,Low,Finnish-speaking population
33,Females,Kuopio,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
0,Males,Mäntsälä,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
28,Males,Helsinki,6 Bachelor's or equivalent level,Pensioners,VI,Medium,Finnish-speaking population
28,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,II,Low,Finnish-speaking population
80,Females,Pori,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Lahti,3-8 A post-comprehensive level qualification,Pensioners,V,Medium,Finnish-speaking population
77,Females,Muonio,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Savonlinna,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
59,Females,Oulu,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
74,Males,Merikarvia,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
49,Females,Mikkeli,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
